TIPO,VIA,TRATTI,CIRC.,FREQ.,LUN,MAR,MER,GIO,VEN,SAB,ITINERARIO,SEDE
VIA,DELLO SPEZIO,Scinà - oltre Muzio,8,sett.,,x,,,,,C8S02,STRAZZERI
VIA,DELLO SPIRITO SANTO,P.zza Monte di Pietà - S. Agostino,1,giorn.,x,x,x,x,x,x,C1G11,STRAZZERI
VIA,DELLO SPIRITO SANTO,Candelai - Panneria,1,sett.,,,,,x,,C1S05,STRAZZERI
VICOLO,DELLO ZINGARO,,1,bisett.,,x,,,x,,C1B17,CAMPISI
PIAZZETTA,DELLO ZUCCHERO,,1,sett.,,,,,,x,C1S13,CAMPISI
VICOLO,DELLO ZUCCHERO,,1,sett.,,,,,,x,C1S13,CAMPISI
PIAZZA,DELL'ORIGLIONE,,1,giorn.,x,x,x,x,x,x,C1G17,CAMPISI
VICOLO,DELL'ORIGLIONE,,1,bisett.,,x,,,x,,C1B17,CAMPISI
CORTILE,DELL'ORSO,,1,sett.,x,,,,,,C1S14,CAMPISI
SALITA,DELL'OSPEDALE,,1,sett.,,,,,x,,C1S12,CAMPISI
VIA,DELL'UNIVERSITA',,1,giorn.,x,x,x,x,x,x,C1G16,CAMPISI
VIA,DENTI DI PIRAINO SALV. AMM,,8,sett.,,x,,,,,C8S20,MOZART
VIA,DI BARTOLO VINCENZO,,8,sett.,,,,x,,,C8S16,STRAZZERI
VIA,DI BENEDETTO FRATELLI,,1,sett.,,x,,,,,C1S09,CAMPISI
VIA,DI BLASI FRANCESCO PAOLO,,8,bisett.,,x,,,x,,C8B42,MOZART
VIA,DI CARLO NICCOLO',,8,bisett.,,,x,,,x,C8B12,STRAZZERI
VIA,DI CHIARA STEFANO,,8,sett.,,,,x,,,C8S16,STRAZZERI
VIA,DI CRISTINA GIOVANNI,Mongitore - Tukory,1,bisett.,,x,,,x,,C1B14,CAMPISI
PIAZZETTA,DI CRISTOFALO,,8,sett.,,,,,x,,C8S23,MOZART
VIA,DI CRISTOFALO,,8,sett.,,,,,x,,C8S23,MOZART
VIA,DI DIO ALFREDO E ANTONIO,,8,bisett.,x,,,x,,,C8B17,STRAZZERI
VIA,DI GIORGIO ANTONINO GEN.,,8,trisett.,x,,x,,x,,C8T24,MOZART
VIA,DI GIOVANNI ALESSIO,,8,bisett.,,x,,,x,,C8B42,MOZART
VIA,DI GIOVANNI GIOVANNI,,8,bisett.,,,x,,,x,C8B06,STRAZZERI
PIAZZETTA,DI GIOVANNI VINCENZO,,1,sett.,,,,x,,,C1S11,CAMPISI
VIA,DI GREGORIO,,8,sett.,,,,,,x,C8S24,STRAZZERI
VIA,DI LIBERTO F.SCO SAVERIO,,8,sett.,,,,x,,,C8S34,MOZART
VIA,DI LORENZO TINA,,1,sett.,,,,x,,,C1S17,CAMPISI
VIA,DI MARCO DOMENICO,,8,bisett.,x,,,x,,,C8B41,MOZART
VIA,DI MARCO VINCENZO,Duca della Verdura - Streva,8,bisett.,,x,,,x,,C8B18,STRAZZERI
VIA,DI MARCO VINCENZO,Gargallo - Streva,8,bisett.,,,x,,,x,C8B19,MOZART
VIA,DI MARIA EUGENIO GEN.,Notarbartolo - Leanti,8,bisett.,,x,,,x,,C8B24,MOZART
VIA,DI MARIA EUGENIO GEN.,Leanti - Cantore,8,bisett.,,,x,,,x,C8B25,MOZART
VIA,DI MARIA EUGENIO GEN.,Parcheggio,8,bisett.,,x,,,x,,C8B24,MOZART
VIA,DI MARZO GIOACCHINO,Sciuti - Leopardi,8,bisett.,,x,,,x,,C8B48,MOZART
VIA,DI MARZO GIOACCHINO,Leopardi - Libertà,8,bisett.,,,x,,,x,C8B46,MOZART
VIA,DI MENSA GIUSEPPE,,8,bisett.,,x,,,x,,C8B22,MOZART
VIA,DI PAOLA ANTONINO  già VIA MN. 4,,8,sett.,,,,x,,,C8S10,MOZART
VIA,DI STEFANO,,8,giorn.,x,x,x,x,x,x,C8G03,STRAZZERI
PIAZZA,DIODORO SICULO,,8,trisett.,,x,,x,,x,C8T14,MOZART
VIA,DIVISI,Maqueda - Roma,1,trisett.,x,,x,,x,,C1T01,CAMPISI
VIA,DIVISI,Roma - P.zza Rivoluzione,1,trisett.,x,,x,,x,,C1T05,INGHAM
VIA,DODICI GENNAIO,XX Settembre - Libertà,8,trisett.,x,,x,,x,,C8T10,STRAZZERI
VIA,DODICI GENNAIO,P.pe di Villafranca - XX Settembre,8,trisett.,,x,,x,,x,C8T04,STRAZZERI
CORTILE,DOMINICI(SCALINATA ),,1,sett.,,,,x,,,C1S04,STRAZZERI
PIAZZA,DON BOSCO,D'Azeglio - Sampolo (lato Roccaforte),8,giorn.,x,x,x,x,x,x,C8G11,MOZART
PIAZZA,DON BOSCO,"a meno del marciapiede lato Roccaforte tratto D'Azeglio -
Sampolo",8,trisett.,x,,x,,x,,C8T19,MOZART
VIA,DON GIOVANNI MINZONI,,8,bisett.,x,,,x,,,C8B20,MOZART
VIA,DON GNOCCHI,Don Orione- Cimbali,8,sett.,,x,,,,,C8S18,STRAZZERI
VIA,DON ORIONE,"Rizzo - Loria, carr. Dir. A. Rizzo",8,bisett.,,,x,,,x,C8B14,STRAZZERI
VIA,DON ORIONE,"Rizzo - Loria, carr. dir. Dei Cantieri",8,bisett.,,,x,,,x,C8B14,STRAZZERI
VIA,DON ORIONE,Rallo - Spedalieri,8,bisett.,,,x,,,x,C8B14,STRAZZERI
VIA,DONIZETTI GAETANO,P.zza Verdi - Amico,1,trisett.,x,,x,,x,,C1T10,STRAZZERI
VIA,DONIZETTI GAETANO,Amico - S. Agostino,1,sett.,,,,,x,,C1S05,STRAZZERI
PIAZZA,D'ORLEANS ENRICO,,1,giorn.,x,x,x,x,x,x,C1G14,CAMPISI
PIAZZETTA,D'OSSUNA,,1,bisett.,x,,,x,,,C1B12,STRAZZERI
CORTILE,DRAGO,,8,sett.,,,,,,x,C8S14,STRAZZERI
VIA,DUCA DELLA VERDURA,Libertà - Villabianca,8,giorn.,x,x,x,x,x,x,C8G10,STRAZZERI
VIA,DUCA DELLA VERDURA,Villabianca - Sampolo,8,trisett.,x,,x,,x,,C8T09,STRAZZERI
PIAZZA,DUE PALME,,1,giorn.,x,x,x,x,x,x,C1G06,STRAZZERI
CORTILE,ECCE HOMO (V S.AGOSTINO),,1,sett.,,,,,,x,C1S06,STRAZZERI
PIAZZA,EDISON TOMMASO,,8,bisett.,x,,,x,,,C8B41,MOZART
VIALE,EMILIA,Empedocle Restivo - Ausonia (entrambe le carreggiate),8,bisett.,,x,,,x,,C8B34,MOZART
VIALE,EMILIA,Ausonia - Croce Rossa (entrambe le carreggiate),8,bisett.,,,x,,,x,C8B33,MOZART
VIA,EMPEDOCLE,Dalia - Archimede,8,sett.,,,,x,,,C8S04,STRAZZERI
VIA,EMPEDOCLE,Dalia - Quintino Sella,8,sett.,,,x,,,,C8S03,STRAZZERI
VICOLO,EMPEDOCLE,,8,sett.,,,x,,,,C8S03,STRAZZERI
VIA,ENNA,,8,sett.,,,,x,,,C8S07,STRAZZERI
VIA,ENZO ED ELVIRA SELLERIO,P.pe di Villafranca - Sammartino,8,trisett.,,x,,x,,x,C8T11,STRAZZERI
VIA,EPICARMO,,1,bisett.,x,,,x,,,C1B09,STRAZZERI
VIA,ERRICO SCIPIONE,,8,sett.,,,,,,x,C8S30,MOZART
VIA,EVOLA FILIPPO,,1,trisett.,x,,x,,x,,C1T04,INGHAM
VIA,FACCIO FRANCO,,8,bisett.,,x,,,x,,C8B52,MOZART
PIAZZETTA,FAGIOLAI,,1,sett.,,x,,,,,C1S15,CAMPISI
VICOLO,FAIA,,1,sett.,,,,,,x,C1S06,STRAZZERI
CORTILE,FARINA,,1,sett.,,x,,,,,C1S09,CAMPISI
VIA,FASTUCA,,1,sett.,,,,x,,,C1S11,CAMPISI
VICOLO,FASTUCA,,1,sett.,,,,x,,,C1S11,CAMPISI
VIA,FAVARA ALBERTO,,1,giorn.,x,x,x,x,x,x,C1G11,STRAZZERI
VIA,FAZIO EMERICO,,8,bisett.,x,,,x,,,C8B20,MOZART
PORTA,FELICE,,1,giorn.,x,x,x,x,x,x,C1G06,STRAZZERI
VIA,FERMI ENRICO,Lancia di Brolo - Falcando,8,bisett.,x,,,x,,,C8B58,MOZART
VIA,FERRARA FRANCESCO,Sammartino - Cusmano,8,sett.,,,,,,x,C8S06,STRAZZERI
VIA,FERRARA FRANCESCO,Sammartino - P.pe di Villafranca,8,sett.,,,,x,,,C8S07,STRAZZERI
VIA,FERRARIS GALILEO,,8,sett.,x,,,,,,C8S01,STRAZZERI
VIA,FERRI FERDINANDO,,8,bisett.,x,,,x,,,C8B20,MOZART
CORTILE,FERRO,,1,giorn.,x,x,x,x,x,x,C1G08,STRAZZERI
VIA,FERRO LUZZI GIOVANNI,,8,bisett.,x,,,x,,,C8B10,STRAZZERI
VIA,FIAMMETTA,,8,sett.,,x,,,,,C8S02,STRAZZERI
VIA,FILANGERI GAETANO,,1,bisett.,x,,,x,,,C1B01,INGHAM
VIA,FILETI ENRICO,,8,sett.,,x,,,,,C8S41,STRAZZERI
VIA,FILIPPONE,,1,bisett.,x,,,x,,,C1B12,STRAZZERI
VIA,FIRENZE,,1,bisett.,,,x,,,x,C1B20,CAMPISI
VIA,FIUME,,1,trisett.,,x,,x,,x,C1T02,CAMPISI
VICOLO,FIUME TORTO,,1,sett.,,x,,,,,C1S15,CAMPISI
PIAZZA,FLORIO IGNAZIO,tutti i camminamenti interni alla villetta,8,giorn.,x,x,x,x,x,x,C8G04,STRAZZERI
VIA,FOLENGO,,8,trisett.,,x,,x,,x,C8T04,STRAZZERI
PIAZZA,FONDERIA,,1,trisett.,,x,,x,,x,C1T13,STRAZZERI
VIA,FONDERIA ORETEA,,8,bisett.,,x,,,x,,C8B02,STRAZZERI
CORTILE,FONTANA,,8,sett.,,,,,,x,C8S24,STRAZZERI
VIA,FORLANINI CARLO,,1,bisett.,,x,,,x,,C1B14,CAMPISI
RUA,FORMAGGI,,1,sett.,x,,,,,,C1S14,CAMPISI
VICOLO,FORNO A S. AGATUZZA,,1,sett.,,,,,x,,C1S12,CAMPISI
VIA,FORNO AGOSTINO,,1,sett.,,,,,x,,C1S05,STRAZZERI
VIC,FORNO AI MAESTRI D'ACQUA,,1,bisett.,,,x,,,x,C1B03,INGHAM
VICOLO,FORNO AL BORGO NUOVO,,8,sett.,,,x,,,,C8S03,STRAZZERI
VICOLO,FORNO AL PALAZZO REALE,,1,sett.,,,,,x,,C1S12,CAMPISI
VIA,FOSCOLO UGO,,8,bisett.,,,x,,,x,C8B43,MOZART
VIA,FOSSI,P.zza B. Da Messina - Gulì Simone,8,bisett.,,,x,,,x,C8B12,STRAZZERI
VIA,"FRA GIOVANNI PANTALEO (strada
privata chiusa)",,8,,,,,,,,"strada privata
chiusa",
PIAZZA,"FRANCO FRANCHI E CICCIO
INGRASSIA",,1,trisett.,x,,x,,x,,C1T09,STRAZZERI
VIA,FRANZONI ANTONIO CAP.,"compreso scalinata collegamento con Via Imperatore
Federico e tratto ad essa parallela",8,sett.,,,,x,,,C8S10,MOZART
VIA,FRASCA POLARA PIETRO,,8,sett.,,,,x,,,C8S34,MOZART
VIA,"FRATE PASQUALE SARULLO (strada
privata chiusa)",,8,,,,,,,,"strada privata
chiusa",
LARGO,FRIULI,,8,sett.,,x,,,,,C8S38,MOZART
VIA,FUDDUNI PIETRO,,1,sett.,,x,,,,,C1S02,STRAZZERI
VIA,FUXA VINCENZO,,8,sett.,,,,x,,,C8S10,MOZART
VICOLO,GAFFI,,1,sett.,,x,,,,,C1S09,CAMPISI
VIA,GAGINI ANTONIO,,1,trisett.,,x,,x,,x,C1T12,STRAZZERI
CORTILE,GAGLIANO,,1,sett.,,,,x,,,C1S07,STRAZZERI
VIALE,GALILEO GALILEI,Lazio - Paternò,8,sett.,x,,,,,,C8S37,MOZART
VIALE,GALILEO GALILEI,Borremans - Paternò,8,bisett.,x,,,x,,,C8B54,MOZART
VIALE,GALILEO GALILEI,Da Vinci - Borremans,8,bisett.,,x,,,x,,C8B56,MOZART
VIA,GALLIANO GIUSEPPE MAGG.,,8,bisett.,x,,,x,,,C8B17,STRAZZERI
VICOLO,GALLO,,1,sett.,,,,x,,,C1S17,CAMPISI
VIA,GALLO DOMENICO,,8,sett.,,x,,,,,C8S02,STRAZZERI
VIA,GALLO NICOLO',,8,trisett.,x,,x,,x,,C8T06,STRAZZERI
VIA,GARGALLO TOMMASO,,8,trisett.,,x,,x,,x,C8T17,MOZART
VIA,GARIBALDI,Milano - Magione,1,trisett.,x,,x,,x,,C1T04,INGHAM
VIA,GARIBALDI,P.zza Rivoluzione - Magione,1,trisett.,x,,x,,x,,C1T05,INGHAM
PIAZZA,GARRAFFELLO,,1,trisett.,,x,,x,,x,C1T08,STRAZZERI
VIA,GARRAFFELLO,,1,trisett.,,x,,x,,x,C1T08,STRAZZERI
PIAZZETTA,GARRAFFO,,1,giorn.,x,x,x,x,x,x,mercati,INGHAM -RD
VIA,GARZILLI NICCOLO',Siracusa - P.zza Mameli,8,trisett.,x,,x,,x,,C8T12,STRAZZERI
VIA,GARZILLI NICCOLO',Messina - Siracusa,8,trisett.,,x,,x,,x,C8T11,STRAZZERI
VIA,GARZILLI NICCOLO',XII Gennaio - Paternostro,8,trisett.,,x,,x,,x,C8T04,STRAZZERI
VIA,GARZILLI NICCOLO',XII Gennaio - Messina,8,trisett.,x,,x,,x,,C8T10,STRAZZERI
VICOLO,GATTUSO GIGINO,,1,bisett.,x,,,x,,,C1B09,STRAZZERI
VICOLO,GELSOMINO,,1,sett.,,,,,,x,C1S13,CAMPISI
VIA,GEMELLI CARLO,,1,bisett.,x,,,x,,,C1B01,INGHAM
VIA,GEMMELLARO GIORGIO,,8,sett.,,,,,x,,C8S05,STRAZZERI
CORTILE,GENOVA,,8,sett.,,x,,,,,C8S33,MOZART
VIA,GENOVA,,1,bisett.,,,x,,,x,C1B20,CAMPISI
PIAZZA,GENTILI ALBERICO,,8,giorn.,x,x,x,x,x,x,C8G10,STRAZZERI
LARGO,GERACI BERNARDO,compresi tratti interni,8,sett.,,,,,x,,C8S36,MOZART
VIA,GERACI BERNARDO,compreso slargo antistante Chiesa,8,sett.,,,,,,x,C8S35,MOZART
LARGO,GERBASI MICHELE,,1,sett.,,,,,,x,C1S13,CAMPISI
VIA,GERBASI ROSARIO,,8,sett.,x,,,,,,C8S01,STRAZZERI
VIA,GERVASI NICOLO',,1,bisett.,,x,,,x,,C1B02,INGHAM
VICOLO,GESU' E MARIA A PAL. REALE,,1,sett.,,,,,x,,C1S12,CAMPISI
VIA,GESU' E MARIA AL PAPIRETO,,1,sett.,,x,,,,,C1S02,STRAZZERI
VIA,GIACALONE,,1,giorn.,x,x,x,x,x,x,C1G08,STRAZZERI
VIA,GIACCHINO MARIA  già VIA R. 23,,8,bisett.,,x,,,x,,C8B52,MOZART
VIA,GIACHERY CARLO,,8,sett.,,,,,,x,C8S14,STRAZZERI
VICOLO,GIANCOLA,,1,sett.,,x,,,,,C1S02,STRAZZERI
VIA,GIANFERRARA,,1,bisett.,,,x,,,x,C1B11,STRAZZERI
VIA,GIARDINACCIO,,1,sett.,x,,,,,,C1S08,CAMPISI
VICOLO,GIARDINELLI AI TARTARI,,1,sett.,,x,,,,,C1S09,CAMPISI
CORTILE,GIARRA ALL'OROLOGIO,,1,giorn.,x,x,x,x,x,x,C1G08,STRAZZERI
VIA,GIBERTI GIAN MATTEO,,8,sett.,,,,,x,,C8S29,MOZART
VIA,GIOENI,,1,bisett.,,x,,,x,,C1B10,STRAZZERI
VIA,GIOIAMIA,,1,bisett.,,,x,,,x,C1B11,STRAZZERI
VICOLO,GIOIAMIA,,1,sett.,,,,x,,,C1S11,CAMPISI
VIA,GIORDANO CALCEDONIO,,8,sett.,,,,,,x,C8S24,STRAZZERI
VIA,GIORDANO UMBERTO,Faccio - Paternò,8,bisett.,,x,,,x,,C8B52,MOZART
VIA,GIORDANO UMBERTO,"Faccio - Notarbartolo (comprese tutte le bretelle laterali
altezza Notarbartolo e Zandonai)",8,bisett.,,,x,,,x,C8B53,MOZART
VIA,GIORGIO D'ANTIOCHIA,,8,sett.,,x,,,,,C8S20,MOZART
VICOLO,GIORGIO IL GRECO,,1,sett.,,,,,,x,C1S06,STRAZZERI
VIA,GIOTTO,Galilei - Regione Siciliana,8,bisett.,,x,,,x,,C8B56,MOZART
VIA,GIOTTO,Ziino - Torricelli,8,sett.,,,x,,,,C8S27,MOZART
VIA,GIOVANNI DA PROCIDA,,1,bisett.,,,x,,,x,C1B20,CAMPISI
VIA,GIOVANNI DA VERRAZZANO,,8,sett.,,,,,,x,C8S14,STRAZZERI
VIALE,GIULIANO BORIS,Magnolie - P.pe Di Paternò,8,bisett.,,,x,,,x,C8B40,MOZART
VIALE,GIULIANO BORIS,Di Blasi - Paternò,8,bisett.,,x,,,x,,C8B42,MOZART
VIA,GIUSEPPE L'INNOGRAFO,,8,sett.,,,,,x,,C8S29,MOZART
VIA,GIUSTI GIUSEPPE,Leopardi - Pirandello,8,bisett.,x,,,x,,,C8B44,MOZART
VIA,GIUSTI GIUSEPPE,Pirandello - Libertà,8,bisett.,,,x,,,x,C8B43,MOZART
VIA,GIUSTI GIUSEPPE,Unità D'Italia - Sciuti,8,bisett.,,,x,,,x,C8B49,MOZART
VIA,GOETHE,,8,trisett.,x,,x,,x,,C8T01,STRAZZERI
VIA,GORIZIA,,1,trisett.,x,,x,,x,,C1T04,INGHAM
VIA,GRADO,,8,sett.,x,,,,,,C8S37,MOZART
PIAZZA,GRAN CANCELLIERE,,1,bisett.,,,x,,,x,C1B18,CAMPISI
VICOLO,GRAN CANCELLIERE,,1,bisett.,,,x,,,x,C1B18,CAMPISI
VIA,GRASSO GIOVANNI,Del Giudice - Schiavo,1,bisett.,x,,,x,,,C1B13,CAMPISI
VIA,GRASSO GIOVANNI,P.zza del Carmine - Mignosi,1,sett.,,,x,,,,C1S10,CAMPISI
VIA,GRASSO GIOVANNI,Schiavo - Mignosi,1,sett.,,x,,,,,C1S15,CAMPISI
VIA,GRAVINA AMMIRAGLIO,P.pe di Scordia - Wagner,8,bisett.,x,,,x,,,C8B04,STRAZZERI
VIA,GRAVINA AMMIRAGLIO,P.pe di Belmonte - Crispi,8,bisett.,,x,,,x,,C8B05,STRAZZERI
VIA,GRAVINA BENEDETTO,,8,bisett.,x,,,x,,,C8B04,STRAZZERI
PORTA,GRECI,,1,giorn.,x,x,x,x,x,x,C1G01,INGHAM
VICOLO,GRECO,,1,trisett.,,x,,x,,x,C1T06,INGHAM
VICOLO,GRIFOTTA,,1,bisett.,,,x,,,x,C1B05,INGHAM
VIA,GUARDIONE FRANCESCO,Villaermosa - P.pe di Scordia,8,bisett.,,,x,,,x,C8B03,STRAZZERI
VIA,GUARDIONE FRANCESCO,P.pe di Scordia - Crispi,8,bisett.,,x,,,x,,C8B02,STRAZZERI
VIA,GUARINO AMELLA GIOVANNI,,8,trisett.,,x,,x,,x,C8T04,STRAZZERI
VICOLO,GUASCONE,,1,sett.,x,,,,,,C1S08,CAMPISI
VIA,GUCCIA,,1,bisett.,x,,,x,,,C1B12,STRAZZERI
VICOLO,GUCCIA,,1,bisett.,x,,,x,,,C1B12,STRAZZERI
VIA,GUCCIA GIOVAN BATTISTA,,8,giorn.,x,x,x,x,x,x,C8G02,STRAZZERI
CORTILE,GUCCIARDI,,8,sett.,,,,,x,,C8S05,STRAZZERI
VIA,GUIDO D'AREZZO,,8,bisett.,x,,,x,,,C8B38,MOZART
VIA,GUIDO DELLE COLONNE,,1,sett.,,,x,,,,C1S16,CAMPISI
VICOLO,GULI',,1,giorn.,x,x,x,x,x,x,C1G08,STRAZZERI
VIA,GULI' SIMONE COM.,Dei Cantieri - C.le Acquasanta,8,trisett.,,x,,x,,x,C8T22,STRAZZERI
VIA,GULI' SIMONE COM.,Cortile Acquasanta - Ammiraglio Rizzo,8,trisett.,,x,,x,,x,C8T21,STRAZZERI
VIA,GUTTADAURO EMANUELE,,8,sett.,,x,,,,,C8S08,MOZART
VIA,GUZZETTA PADRE GIORGIO,,1,sett.,,,,x,,,C1S07,STRAZZERI
VIA,HOLM ADOLFO,Montuoro - Da Vinci,8,sett.,,,,,,x,C8S30,MOZART
VIA,HOUEL,,8,trisett.,,x,,x,,x,C8T02,STRAZZERI
VICOLO,IANNELLO,,1,bisett.,x,,,x,,,C1B04,INGHAM
VIA,ILARDI PIETRO,,8,bisett.,,x,,,x,,C8B18,STRAZZERI
VIA,IMMACOLATELLA,,1,trisett.,,x,,x,,x,C1T07,INGHAM
VIA,IMPALLOMENI G. BATTISTA,,1,giorn.,x,x,x,x,x,x,C1G09,STRAZZERI
VIA,IMPASTATO GIUSEPPE,,8,bisett.,x,,,x,,,C8B13,STRAZZERI
VIA,IMPERATORE FEDERICO,,8,bisett.,,,x,,,x,C8B21,MOZART
VICOLO,INFERMERIA DEI CAPPUCCINI,,1,bisett.,,x,,,x,,C1B17,CAMPISI
VIA,INGRAO GIOVANNI TEN.,,8,sett.,,,,,x,,C8S05,STRAZZERI
VICOLO,INGUAGGIATO,,1,sett.,x,,,,,,C1S14,CAMPISI
VIA,ISNELLO,,1,trisett.,,x,,x,,x,C1T07,INGHAM
VIA,ISONZO,,8,bisett.,,,x,,,x,C8B40,MOZART
VIA,ISTRIA,,8,sett.,,x,,,,,C8S38,MOZART
CORTILE,JUDICA,,1,sett.,,,,,,x,C1S06,STRAZZERI
VIA,JUDICA,,1,trisett.,x,,x,,x,,C1T09,STRAZZERI
VIA,JUNG GUIDO,,8,sett.,,x,,,,,C8S18,STRAZZERI
VIA,JUVARA ALOISIO,Bagolino - Loria,8,sett.,,,,x,,,C8S16,STRAZZERI
VIA,JUVARA ALOISIO,Rizzo - Loria,8,sett.,,,,,x,,C8S17,STRAZZERI
VIA,JUVARA ALOISIO,Bagolino - Cantieri,8,bisett.,,x,,,x,,C8B11,STRAZZERI
VIA,JUVARA FILIPPO,Goethe - Vitagliano,8,sett.,,,,,x,,C8S05,STRAZZERI
VIA,LA FARINA GIUSEPPE,P.za Diodoro Siculo - P.pe di Villafranca,8,trisett.,,x,,x,,x,C8T13,STRAZZERI
VIA,LA FARINA GIUSEPPE,Villafranca - P.za Mordini,8,trisett.,x,,x,,x,,C8T12,STRAZZERI
VIA,LA GUMINA FRATELLI,,1,sett.,,,,x,,,C1S17,CAMPISI
VIA,LA LUMIA ISIDORO,Amari - Sella,8,giorn.,x,x,x,x,x,x,C8G06,STRAZZERI
VIA,LA LUMIA ISIDORO,Sella - Archimede,8,giorn.,x,x,x,x,x,x,C8G07,STRAZZERI
VIA,LA LUMIA ISIDORO,Pepe - Archimede,8,trisett.,,x,,x,,x,C8T07,STRAZZERI
VIA,LA MARMORA ALESSANDRO,,8,trisett.,x,,x,,x,,C8T19,MOZART
VIA,LA MASA GIUSEPPE,Emerico Amari - Collegio di Maria al Borgo,8,bisett.,x,,,x,,,C8B04,STRAZZERI
VIA,LA MASA GIUSEPPE,Stabile - Emerico Amari,8,bisett.,,x,,,x,,C8B05,STRAZZERI
VICOLO,LA ROCCA ALLE CASE NUOVE,,1,sett.,,,x,,,,C1S10,CAMPISI
VIA,LA ROSA MICHELE,,8,sett.,,x,,,,,C8S33,MOZART
VIA,LA VILLA GIUSEPPE,,8,bisett.,x,,,x,,,C8B10,STRAZZERI
CORTILE,LAMPEDUSA,,1,sett.,,,,x,,,C1S07,STRAZZERI
VIA,LAMPEDUSA,,1,sett.,,,,x,,,C1S07,STRAZZERI
VIA,LAMPIONELLI,,1,sett.,x,,,,,,C1S08,CAMPISI
VICOLO,LAMPIONELLI,,1,sett.,x,,,,,,C1S08,CAMPISI
VIA,LANCIA DI BROLO DOMENICO,Fermi - Campolo,8,bisett.,,,x,,,x,C8B57,MOZART
VIA,LANDOLINA SAVERIO,,8,sett.,,,,,x,,C8S17,STRAZZERI
VICOLO,LANZA,,1,bisett.,x,,,x,,,C1B04,INGHAM
PIAZZETTA,LANZA ANGELINA,,1,bisett.,x,,,x,,,C1B09,STRAZZERI
VIA,LATINI BRUNETTO,,8,trisett.,,x,,x,,x,C8T02,STRAZZERI
VIA,LATTARINI,,1,giorn.,x,x,x,x,x,x,C1G04,INGHAM
VIA,LATTARINI GRANDE,,1,giorn.,x,x,x,x,x,x,C1G04,INGHAM
VIA,LAURANA FRANCESCO,Sampolo - Toselli,8,trisett.,x,,x,,x,,C8T16,STRAZZERI
VIA,LAURANA FRANCESCO,Toselli - Villabianca,8,giorn.,x,x,x,x,x,x,C8G10,STRAZZERI
VIA,LAURANA FRANCESCO,Di Marco - Villabianca,8,bisett.,,x,,,x,,C8B18,STRAZZERI
VIA,LAURETO TOMMASO,,8,sett.,,,,x,,,C8S16,STRAZZERI
VIALE,LAZIO,D'Arezzo - Restivo,8,trisett.,,x,,x,,x,C8T25,MOZART
VIALE,LAZIO,Piemonte - Libertà,8,bisett.,,x,,,x,,C8B35,MOZART
VIALE,LAZIO,Sciuti - Piemonte,8,bisett.,,x,,,x,,C8B36,MOZART
SALITA,LE CHIAVI,,8,sett.,,,,,x,,C8S23,MOZART
CORTILE,LE CHIAVI (1),,8,sett.,,,,,x,,C8S23,MOZART
CORTILE,LE CHIAVI (2),,8,sett.,,,,,x,,C8S23,MOZART
LARGO,LEANTI ARCANGELO,,8,bisett.,,,x,,,x,C8B25,MOZART
VIA,LEANTI ARCANGELO,,8,bisett.,,,x,,,x,C8B25,MOZART
VIA,LEHAR FRANZ,,8,sett.,x,,,,,,C8S37,MOZART
PIAZZALE,LENNON JOHN,Capolinea AMAT,8,bisett.,,x,,,x,,C8B56,MOZART
VIALE,LEONARDO DA VINCI,Ziino - Regione Siciliana,8,trisett.,x,,x,,x,,C8T28,MOZART
VIA,LEONCAVALLO RUGGIERO,,8,sett.,,x,,,,,C8S26,MOZART
VICOLO,LEONE,,1,sett.,,,,,,x,C1S13,CAMPISI
PIAZZA,LEONI,,8,bisett.,x,,,x,,,C8B32,MOZART
VIA,LEOPARDI GIACOMO,Notarbartolo - Cesareo,8,bisett.,x,,,x,,,C8B47,MOZART
VIALE,LEOPARDI GIACOMO,Cesareo - Giusti,8,bisett.,x,,,x,,,C8B44,MOZART
VIA,LEOTTA EUGENIO,,8,sett.,,,,,x,,C8S23,MOZART
VIA,LETO ANTONINO,,8,bisett.,x,,,x,,,C8B29,STRAZZERI
VICOLO,LETTIGHIERI,,1,giorn.,x,x,x,x,x,x,C1G07,STRAZZERI
VIA,LI DONNI FERDINANDO,,8,bisett.,,x,,,x,,C8B31,STRAZZERI
VICOLO,LI GUASTELLI ANNA,,1,sett.,x,,,,,,C1S08,CAMPISI
VIA,LI VOLSI SCIPIONE,,8,sett.,,,,,x,,C8S05,STRAZZERI
VIA,LIGURIA,Emilia - Brigata Verona,8,sett.,,,x,,,,C8S39,MOZART
VIA,LINCOLN,C.so Dei Mille - Foro Umberto I,1,giorn.,x,x,x,x,x,x,C1G02,INGHAM
CORTILE,LISIA,,1,sett.,,x,,,,,C1S15,CAMPISI
VIA,LISZT FRANZ,,8,bisett.,x,,,x,,,C8B51,MOZART
VIA,LIVORNO,,1,bisett.,,,x,,,x,C1B20,CAMPISI
VICOLO,LO BIANCO,,1,bisett.,,,x,,,x,C1B05,INGHAM
VIA,LO CASCIO TOMMASO,,8,sett.,,,,,,x,C8S14,STRAZZERI
VIA,LO JACONO FRANCESCO,Rapisardi - Giusti,8,bisett.,,,x,,,x,C8B49,MOZART
VIA,LO JACONO FRANCESCO,Notarbartolo - Rapisardi,8,bisett.,,x,,,x,,C8B48,MOZART
VIA,LO JACONO FRANCESCO,Almejda - Notarbartolo,8,bisett.,x,,,x,,,C8B23,MOZART
