TIPO,VIA,TRATTI,CIRC.,FREQ.,LUN,MAR,MER,GIO,VEN,SAB,ITINERARIO,SEDE
VICOLO,BONDIO (2),,1,bisett.,,,x,,,x,C1B03,INGHAM
VIA,BONELLO MATTEO,Vittorio Emanuele - C.le dei Pellegrini,1,giorn.,x,x,x,x,x,x,C1G17,CAMPISI
VIA,BONELLO MATTEO,C.le dei Pellegrini - Papireto,1,trisett.,x,,x,,x,,C1T11,STRAZZERI
VIA,BONELLO MATTEO,Papireto - Carrettieri,1,bisett.,,,x,,,x,C1B11,STRAZZERI
VIA,BONELLO MATTEO,Carrettieri - Cappuccinelle,1,sett.,,x,,,,,C1S02,STRAZZERI
VIA,BONFIGLIO COSTANZO G.PPE,,8,bisett.,,x,,,x,,C8B24,MOZART
VIA,BONO SALVATORE,,8,sett.,x,,,,,,C8S09,MOZART
VIA,BONOMO GABRIELE,,8,bisett.,x,,,x,,,C8B04,STRAZZERI
VIA,BONTA',,8,bisett.,,,x,,,x,C8B06,STRAZZERI
PIAZZA,BORGESE GIOVANNI,,1,bisett.,x,,,x,,,C1B09,STRAZZERI
VIA,BORGHI GIUSEPPE,,8,bisett.,,,x,,,x,C8B43,MOZART
VIA,BORGO NUOVO,,8,sett.,,,x,,,,C8S03,STRAZZERI
VIA,BORRELLI ALFONSO,P.zza Crispi - Calvi,8,giorn.,x,x,x,x,x,x,C8G08,STRAZZERI
VIA,BORRELLI ALFONSO,Calvi - V.lo Ucciardone,8,trisett.,,x,,x,,x,C8T08,STRAZZERI
VIA,BORREMANS GUGLIELMO,comprese le bretelle laterali,8,bisett.,x,,,x,,,C8B54,MOZART
VIA,BORZI' ANTONINO,,1,bisett.,,,x,,,x,C1B08,STRAZZERI
VIA,BOTTA CARLO,,1,bisett.,x,,,x,,,C1B01,INGHAM
VIA,BOTTAI,,1,giorn.,x,x,x,x,x,x,C1G05,INGHAM
PIAZZA,BOTTEGO VITTORIO,,1,giorn.,x,x,x,x,x,x,C1G12,STRAZZERI
VIA,BOTTICELLI SANDRO,,8,sett.,,,,,,x,C8S35,MOZART
VIA,BRAHMS GIOVANNI,,8,sett.,,,,x,,,C8S28,MOZART
VIA,BRIGATA AOSTA,,8,sett.,,,,,,x,C8S14,STRAZZERI
VIA,BRIGATA VERONA,Empedocle Restivo - Campania,8,bisett.,,x,,,x,,C8B36,MOZART
VIA,BRIGATA VERONA,Campania - Vittorio Veneto,8,trisett.,x,,x,,x,,C8T24,MOZART
VIA,BROGGI GIUSEPPE,,8,sett.,,,,,,x,C8S14,STRAZZERI
VICOLO,BRUGNO',,1,bisett.,,x,,,x,,C1B17,CAMPISI
PIAZZETTA,BRUNACCINI LUCREZIA,,1,sett.,x,,,,,,C1S14,CAMPISI
VIA,BRUNO GIORDANO GIUSEPPE,,1,bisett.,,,x,,,x,C1B03,INGHAM
VIA,BUON PASTORE,,1,sett.,,,x,,,,C1S03,STRAZZERI
VIA,BUSARI,,1,bisett.,,,x,,,x,C1B15,CAMPISI
VICOLO,BUSARI,,1,sett.,,x,,,,,C1S02,STRAZZERI
VIA,BUTERA,,1,bisett.,,,x,,,x,C1B05,INGHAM
PIAZZA,C.M. 1,,1,sett.,,,,x,,,C1S04,STRAZZERI
CORTILE,CACCAMO,,1,bisett.,x,,,x,,,C1B01,INGHAM
VICOLO,CACCAMO ALLA BARA (1),,1,giorn.,x,x,x,x,x,x,C1G07,STRAZZERI
VICOLO,CACCAMO ALLA BARA (2),,1,giorn.,x,x,x,x,x,x,C1G07,STRAZZERI
VICOLO,CACCAMO ALL'ALLORO,,1,bisett.,x,,,x,,,C1B01,INGHAM
VICOLO,CACCIATORE,,1,giorn.,x,x,x,x,x,x,C1G08,STRAZZERI
VIA,CACCIATORE NICOLO',,8,sett.,,,,x,,,C8S16,STRAZZERI
VIA,CACIOPPO LEONARDO,,1,sett.,,,x,,,,C1S03,STRAZZERI
VIA,CADORNA LUIGI GEN.,Mongitore - Tukory,1,bisett.,,,x,,,x,C1B15,CAMPISI
VIA,CADORNA LUIGI GEN.,Bastione - Mongitore,1,bisett.,x,,,x,,,C1B16,CAMPISI
VICOLO,CAFISARI,,1,sett.,,x,,,,,C1S15,CAMPISI
VIA,CAGLIARI,,1,trisett.,x,,x,,x,,C1T05,INGHAM
VIA,CALA,lato monte,1,trisett.,,x,,x,,x,C1T13,STRAZZERI
VIA,CALA,lato mare,1,trisett.,,x,,x,,x,C1T13,STRAZZERI
VIA,CALABRIA,,8,bisett.,,x,,,x,,C8B36,MOZART
VIA,CALASCIBETTA,,1,trisett.,,x,,x,,x,C1T07,INGHAM
VIA,CALDERAI,,1,bisett.,,,x,,,x,C1B20,CAMPISI
PIAZZETTA,CALDOMAI,,1,sett.,,,,x,,,C1S04,STRAZZERI
VICOLO,CALDOMAI,,1,sett.,,,,x,,,C1S04,STRAZZERI
VIA,CALIPARI NICOLA,,1,trisett.,x,,x,,x,,C1T14,STRAZZERI
VIA,CALLIMACO ANGELO,,8,sett.,,,,,x,,C8S29,MOZART
VIA,CALTANISSETTA,,8,bisett.,x,,,x,,,C8B26,STRAZZERI
VIA,CALVI PASQUALE,Delle Croci - P.zza Nasce,8,giorn.,x,x,x,x,x,x,C8G08,STRAZZERI
VIA,CAMPAILLA TOMMASO,,8,sett.,,,x,,,,C8S03,STRAZZERI
VIALE,CAMPANIA,,8,bisett.,,x,,,x,,C8B35,MOZART
VIA,CAMPOLO GIOVANNI,Lancia di Brolo - Pacinotti,8,bisett.,,,x,,,x,C8B57,MOZART
VIA,CAMPOLO GIOVANNI,Pacinotti - Serradifalco (tutte le carreggiate),8,bisett.,,x,,,x,,C8B59,MOZART
VICOLO,CANCELLO AL MONTE,,1,sett.,,,,,x,,C1S05,STRAZZERI
VICOLO,CANCELLO ALLA GIOIAMIA,,1,sett.,,,,x,,,C1S11,CAMPISI
VIA,CANDELAI,,1,bisett.,,x,,,x,,C1B10,STRAZZERI
CORTILE,CANNATA,,1,sett.,,,,,,x,C1S13,CAMPISI
VICOLO,CANNATA,,1,sett.,,,,,,x,C1S13,CAMPISI
VIA,CANNATELLO (interno Pretura),,1,,,,,,,,"strada privata
chiusa",
VIA,CANTAVESPRI VINCENZO,,1,trisett.,x,,x,,x,,C1T05,INGHAM
VIA,CANTIERE FINOCCHIARO,,8,bisett.,,x,,,x,,C8B27,STRAZZERI
VIA,CANTORE ANTONINO GENERALE,,8,bisett.,,,x,,,x,C8B25,MOZART
PIAZZA,CAPITANERIA DEL PORTO,,1,trisett.,,x,,x,,x,C1T03,INGHAM
PIAZZA,CAPO,piazzale antistante Chiesa della Mercede (spianata),1,giorn.,x,x,x,x,x,x,C1G09,STRAZZERI
PIAZZA,CAPONNETTO (EX GIACHERY CARLO),,8,bisett.,,,x,,,x,C8B09,STRAZZERI
VICOLO,CAPPELLIERI,,1,giorn.,x,x,x,x,x,x,C1G07,STRAZZERI
VIA,CAPPUCCINELLE,Via Papireto - Via della Concezione,1,giorn.,x,x,x,x,x,x,C1G09,STRAZZERI
VIA,CAPPUCCINELLE,P.tta D'Ossuna - Via Papireto,1,bisett.,x,,,x,,,C1B12,STRAZZERI
VIA,CAPPUCCINELLE,Via della Concezione - Via Beati Paoli,1,giorn.,x,x,x,x,x,x,mercati,INGHAM -RD
VICOLO,CAPRAIO,,1,sett.,,x,,,,,C1S09,CAMPISI
VIA,CAPUANA LUIGI,,8,sett.,,,,,,x,C8S14,STRAZZERI
PIAZZA,CARACCIOLO,,1,giorn.,x,x,x,x,x,x,mercati,INGHAM -RD
DISCESA,CARACCIOLO VICERE',,1,giorn.,x,x,x,x,x,x,mercati,INGHAM -RD
VIA,CARAVAGGIO,,8,sett.,,,x,,,,C8S32,MOZART
CORTILE,CARDILLO,,1,sett.,,x,,,,,C1S09,CAMPISI
VIA,CARDUCCI GIOSUE',P.pe di Villafranca - Libertà,8,trisett.,,x,,x,,x,C8T04,STRAZZERI
VIA,CARELLA,,8,bisett.,,,x,,,x,C8B03,STRAZZERI
VIA,CARINI,,8,bisett.,,,x,,,x,C8B30,STRAZZERI
VICOLO,CARINI,,1,bisett.,,x,,,x,,C1B17,CAMPISI
VIA,CARINI GIACINTO,,8,bisett.,,,x,,,x,C8B33,MOZART
VIA,CARINI ISIDORO,,8,giorn.,x,x,x,x,x,x,C8G08,STRAZZERI
LARGO,CARISSIMI GIAN GIACOMO,,8,sett.,,,x,,,,C8S27,MOZART
VIA,CARNEVALE EMANUELE,,8,sett.,x,,,,,,C8S31,MOZART
VIA,CARRETTIERI,,1,sett.,,x,,,,,C1S02,STRAZZERI
PIAZZA,CASA PROFESSA,,1,giorn.,x,x,x,x,x,x,C1G15,CAMPISI
VIA,CASA PROFESSA,,1,giorn.,x,x,x,x,x,x,C1G15,CAMPISI
VICOLO,CASA PROFESSA,,1,bisett.,,,x,,,x,C1B20,CAMPISI
PIAZZA,CASCINO ANTONINO GEN.,compreso parcheggio,8,trisett.,,x,,x,,x,C8T20,STRAZZERI
VICOLO,CASE DI TROIA,,1,sett.,,x,,,,,C1S09,CAMPISI
VIA,CASELLA ALFREDO,,8,sett.,,x,,,,,C8S26,MOZART
FONDO,CASIGLIA,,8,bisett.,x,,,x,,,C8B10,STRAZZERI
PIAZZA,CASSA DI RISPARMIO,,1,trisett.,,x,,x,,x,C1T07,INGHAM
PIAZZA,CASSARELLI,,1,bisett.,,x,,,x,,C1B07,STRAZZERI
VICOLO,CASSARELLI,,1,bisett.,,x,,,x,,C1B07,STRAZZERI
VIA,CASSARI,,1,trisett.,,x,,x,,x,C1T08,STRAZZERI
CORTILE,CASTELLANA,,8,sett.,x,,,,,,C8S19,MOZART
SALITA,CASTELLANA,,1,sett.,,,,x,,,C1S04,STRAZZERI
VIA,CASTELLANA BANDIERA,Rizzo - Peralta,8,sett.,,x,,,,,C8S18,STRAZZERI
VIA,CASTELLANA BANDIERA,Peralta - Thaon De Revel,8,sett.,x,,,,,,C8S19,MOZART
VIA,CASTELLO,Fratelli Orlando - Crispi,1,sett.,,,x,,,,C1S03,STRAZZERI
VIA,CASTELLO,Fratelli Orlando - Squarcialupo,1,sett.,,,,x,,,C1S07,STRAZZERI
PIAZZA,CASTELNUOVO,compreso palchetto della musica e tutti i tratti interni,8,giorn.,x,x,x,x,x,x,C8G03,STRAZZERI
VICOLO,CASTELNUOVO,,1,bisett.,,,x,,,x,C1B18,CAMPISI
VIA,CASTIGLIA BENEDETTO,,8,sett.,,,,x,,,C8S07,STRAZZERI
VIA,CASTRIOTA GIORGIO,,8,trisett.,,x,,x,,x,C8T07,STRAZZERI
VIA,CASTROFILIPPO,Del Sole - Riso,1,giorn.,x,x,x,x,x,x,C1G03,INGHAM
VIA,CASTROFILIPPO,Alloro - Riso,1,bisett.,x,,,x,,,C1B01,INGHAM
VIA,CATALANI ALFREDO,,8,sett.,,x,,,,,C8S26,MOZART
VICOLO,CATALANO,,1,sett.,,,,x,,,C1S04,STRAZZERI
CORTILE,CATANIA,,8,sett.,,,,,,x,C8S24,STRAZZERI
VIA,CATANIA,Malaspina - Sammartino,8,bisett.,,x,,,x,,C8B27,STRAZZERI
VIA,CATANIA,Libertà - Sammartino,8,bisett.,x,,,x,,,C8B26,STRAZZERI
VICOLO,CATARO,,1,sett.,,,,,,x,C1S06,STRAZZERI
VIA,CATTI MICHELE,,8,sett.,,,,x,,,C8S16,STRAZZERI
PIAZZA,CATTOLICA,,1,giorn.,x,x,x,x,x,x,C1G04,INGHAM
LARGO,CAVALIERI DEL S. SEPOLCRO,,1,giorn.,x,x,x,x,x,x,C1G16,CAMPISI
LARGO,CAVALIERI DI MALTA,,1,trisett.,,x,,x,,x,C1T12,STRAZZERI
VIA,CAVALLARI SAVERIO,,8,sett.,,,,x,,,C8S07,STRAZZERI
VIA,CAVIGLIA MARESCIALLO,,8,sett.,,x,,,,,C8S08,MOZART
VIA,CAVOUR CAMILLO,Ruggero Settimo - Roma,1,giorn.,x,x,x,x,x,x,C1G07,STRAZZERI
VIA,CAVOUR CAMILLO,P.za XIII Vittime - Roma,1,trisett.,x,,x,,x,,C1T14,STRAZZERI
VICOLO,CEFALA',,1,bisett.,x,,,x,,,C1B04,INGHAM
VIA,CELESIA MICHELANGELO CARD.,,1,bisett.,x,,,x,,,C1B16,CAMPISI
CORTLE,CELI,,1,bisett.,x,,,x,,,C1B01,INGHAM
VICOLO,CELSO (2),,8,sett.,,x,,,,,C8S02,STRAZZERI
VIA,CERDA,,8,trisett.,x,,x,,x,,C8T03,STRAZZERI
VIA,CERVELLO NICOLO',,1,giorn.,x,x,x,x,x,x,C1G01,INGHAM
VIA,CESAREO GIOVANNI ALFREDO,Pirandello - Leopardi,8,bisett.,x,,,x,,,C8B47,MOZART
VIA,CESAREO GIOVANNI ALFREDO,Leopardi - Lo Jacono,8,bisett.,,,x,,,x,C8B49,MOZART
VIA,CESAREO GIOVANNI ALFREDO,Lo Jacono - Sciuti,8,bisett.,,,x,,,x,C8B50,MOZART
LARGO,CHERUBINI LUIGI,,8,sett.,,,x,,,,C8S27,MOZART
VICOLO,CHIANCHE,,1,sett.,,,,,x,,C1S05,STRAZZERI
VIA,CHIAPPARA AL CARMINE,,1,bisett.,,x,,,x,,C1B21,CAMPISI
